COMPOUND,QC(I)1,QC(I)2,QC(I)3,QC(I)4,QC(I)5,QC(I)6,QC(I)7,QC(I)8,QC(I)9,QC(I)10,QC(I)11,QC(I)12,QC(I)13,QC(I)14,QC(I)15,QC(I)16,QC(I)17,QC(I)18,QC(I)19,QC(I)20,QC(I)21,QC(I)22,QC(I)23,QC(I)24,QC(I)25,QC(I)26,QC(I)27,QC(I)28,QC(I)29,QC(I)30,QC(S)1_Batch8,QC(S)2_Batch8,QC(S)3_Batch8,QC(S)4_Batch8,QC(S)5_Batch8,QC(S)6_Batch9,QC(S)7_Batch9,QC(S)8_Batch9,QC(S)9_Batch9,QC(S)10_Batch9,QC(S)11_Batch10,QC(S)12_Batch10,QC(S)13_Batch10,QC(S)14_Batch10,QC(S)15_Batch10,QC(S)16_Batch11,QC(S)17_Batch11,QC(S)18_Batch11,QC(S)19_Batch11,QC(S)20_Batch11,QC(S)21_Batch12,QC(S)22_Batch12,QC(S)23_Batch12,QC(S)24_Batch12,QC(S)25_Batch12,QC(S)26_Batch13,QC(S)27_Batch13,QC(S)28_Batch13,QC(S)29_Batch13,QC(S)30_Batch13
Acetylcholine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glutamine,60526893,60482043,59165842,58087701,59547761,60260091,58383092,57807688,57885115,56976532,57120626,54304627,54999509,53264804,55457735,54903422,55112651,56744073,54778067,53079296,56230836,55285453,56452459,52297821,54203623,53903653,52235127,53356148,52903356,52300648,158526597,153802798,150925194,148239415,148258267,150536864,148440901,144445067,138609345,138616440,138192212,136145336,136685868,133967933,134748948,132332369,137211050,136630277,135844464,138888974,133950587,134136100,135973989,132219563,134872993,132435507,130817359,130907751,129347213,128563990
Lysine,31306831,37416842,36743518,36571458,36417309,37146031,36963186,37586449,34939123,34935668,36609224,35250606,34754996,35243532,34957748,33407255,34498045,35062700,34421391,33687721,34221644,33324553,33519551,33546939,33580553,33097467,33808844,33878912,34102927,32956991,21753967,23587982,23052021,23425186,23313044,23480139,23201079,22690883,22769831,22240819,22239480,22583464,22603521,21151788,21246732,20748659,20732545,20791246,22004144,21238056,21227706,21787825,21129606,22083422,20948015,21908947,21347220,21534396,21316672,21230408
Deoxycarnitine,688032,639960,580568,643294,611741,599794,575768,542746,556895,553245,516890,527599,553572,563090,533473,509193,563831,562719,570177,524212,525636,517038,491133,476670,490927,500164,517838,497478,507957,485090,524538,500859,511085,432536,455020,493585,460898,463293,420731,417719,445311,409293,422343,451633,444955,403904,441685,428802,406802,454830,415654,394545,448396,393734,428811,376600,377853,418450,395249,384781
Glutamic acid,43410471,46649806,45208913,44009524,45044501,43414812,43618605,44159747,42844234,42391782,42440723,43710925,42897145,41361580,42114254,41516440,41916396,42430453,41728276,40632340,40806035,41963471,41649193,39900893,40502030,42668364,41802035,41223236,41028153,40231840,6026037,5517892,5416441,5239338,5422350,5325382,5273091,5321822,5211967,5206198,4985275,5293264,5220807,4974499,4989438,4935874,5018873,5186618,5200088,4988569,4902257,4893713,5078905,4866650,5138934,5171796,5124674,4914190,5075572,4977723
Methionine,1816865,1796539,1703606,1732893,1674465,1712942,1757977,1668674,1628027,1623424,1625000,1568366,1497893,1556125,1542866,1527544,1581012,1598724,1615030,1505336,1489356,1435842,1504825,1470164,1492364,1441980,1494709,1456218,1478853,1448636,4639069,4364736,4292855,4353203,4319053,4277503,4310347,4358924,4096098,4071717,4144963,4122120,4050444,4019645,3959639,3938349,4106936,4103599,3963648,4036550,3874965,3929601,3867861,3932007,3857300,3786531,3768920,3853811,3809796,3815207
Guanine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67485,59299,51712,65356,61741,53276,52014,52303,51790,59071,57886,51545,44708,47241,57528,42455,54289,47890,37429,45544,49396,50656,40429,41705,52387,40408,42071,52755,49492,46101
Cystamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Histidine,78124974,79601417,73692603,68064961,74303042,73063607,75193314,70378339,70314473,66679081,67466809,66756969,64122911,61686318,63497196,61070855,61715342,60957994,61859874,53869219,54186534,55518878,56934440,57479962,58438597,56539231,57525344,60065537,54619571,58228474,89816958,86533927,82368439,81274232,79784900,78074374,78586577,73932638,75432405,74752120,73851303,72105649,70702181,67718266,67890961,64860599,67152025,66180379,66393812,62492809,57579650,62073344,61832198,62475357,63654530,62705856,62742016,65311311,59446716,61865912
Serotonin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tryptamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carnitine,75773770,70052716,64416199,66999014,66768523,63630486,61799162,61650089,60580239,58478010,57141457,58372642,57517312,55121617,56598715,54884864,56659173,55366902,52411884,53415017,54424807,50749363,50296174,48889063,50577395,51053275,48053995,49554974,48973478,45256212,51092823,45620717,43310890,41330653,40063254,40344039,38563506,38236519,38348093,35901361,36235352,35922003,36841768,33911159,33557570,33796055,34729499,32894735,33783948,33788895,33310070,31464612,32156402,31643231,31607811,31808933,31043055,31092254,29861238,30201760
Phenylalanine,112899412,107656560,103626729,100862067,103469294,104089966,102533532,101014378,99760783,96917040,97546060,96288825,97863504,97104390,97606697,94473519,97560412,96528654,94437472,93660084,95527374,93949224,92643651,91199144,89765296,89913733,89567536,90226782,90956966,87977919,72825792,69135940,67210689,67243367,67455121,66450713,66340487,64649209,63937910,64189500,64439455,64855630,62344607,61505512,62934103,60106151,64254086,62640732,62734220,62660683,60781496,61004122,60463389,59036855,59058623,58398829,58753201,58409149,58084465,58504697
Methionine Sulfoxide,700868,731464,658521,719949,670659,704190,677589,668283,667211,709340,680237,682781,686148,664973,676429,617293,610744,663131,672432,665834,680593,669552,683875,713676,666444,643996,675621,676968,693222,672818,671443,665041,613396,642108,698313,628629,618378,625962,595535,657549,601442,622818,587586,628304,607334,592823,601340,611004,619301,647362,607396,650031,614829,603439,657726,667684,622642,613919,661699,605963
7-Methylguanine,324022,308925,278508,278452,280289,262586,258906,257572,265164,244982,242008,239284,240176,232349,233714,235713,235041,238814,217852,226139,220844,207849,205578,213941,203045,217082,210228,216145,219974,213656,846560,739351,698892,695752,667936,662231,646946,646387,606646,618641,588138,588563,585161,580301,585624,575909,590886,566863,561093,589247,546896,552110,551317,566403,539556,559619,560457,526483,535724,530804
Normetanephrine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taurocyamine,162231,163156,154876,191952,171391,169468,188701,144306,159588,161251,153568,177992,156132,172260,144863,150940,186795,156776,192140,171477,146331,148735,153613,141705,145407,169383,149383,171051,168122,154060,179272,183810,187303,198394,166061,196538,155979,187673,169091,150627,202293,136182,173755,186596,194130,116833,162096,171492,185912,203096,205136,151280,184952,178115,163855,159481,144637,147107,165982,162560
Pyridoxamine,1679317,1597514,1562113,1562578,1669489,1779339,1419307,1669241,1826997,1422025,1541418,1519834,1480794,1605501,1747065,1404148,1513640,1592961,1497923,1641737,1582697,1537701,1562652,1329109,1725340,1592131,1537781,1600631,1503195,1454340,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1/3-Methylhistidine,13438064,12890267,11241544,9502509,10211842,10119650,10665622,9256988,9451350,8664684,8548088,8701968,7925171,7467003,8072456,7401014,7420404,7110117,7438783,6075623,6245394,6353097,6743939,6375142,6743015,6284952,6322405,6830914,6115104,6601070,7714771,7772676,7491214,6807373,6600000,6645265,6719160,5041238,6332110,5832072,5489132,5606373,5226069,5115340,4792318,4626855,4821181,4834399,4773709,4345692,3871417,4277197,4535866,4238220,4650001,4308108,4521536,4575623,4240102,4355033
Norepinephrine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
n-Glycylproline,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arginine,92296708,132601306,124064775,116855861,119550084,124811257,124562702,119534372,117549086,113554802,115915248,115801017,114197408,107501518,111360103,109398082,105326698,103843306,105243140,99812039,97492182,100726083,101328095,100716299,100887090,101193489,103123428,103276347,103102732,97076755,79472506,100648207,95699219,94564696,91692719,91270443,86562435,87799960,86534279,87550851,84149089,84784518,78266515,80621055,81824961,79426942,79089277,79258456,79767533,73241285,72635437,74084377,73944561,76241995,75214269,71360588,76734721,76705962,72269103,70265875
N-Acetylornithine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cotinine,3377911,3102659,3095208,3102684,2958036,2867861,2815532,2797538,2868632,2793561,2815081,2811284,2838559,2907771,2835985,2830045,2838871,2822088,2753133,2750115,2793069,2764630,2771623,2732201,2845421,2708552,2732473,2768516,2870490,2765930,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cysteinyl-Glycine (Cys-Gly),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gluconolactone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glucosamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Theobromine,247671,257443,298014,247413,247180,249432,257468,259647,273448,228280,241943,257564,255121,270604,264775,251643,260506,261358,251779,248844,256244,257474,249746,237785,254551,256249,273696,246726,257758,276223,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"1,7-Dimethylxanthine",173632,168114,172035,181776,162937,180018,198699,188398,169714,202109,187296,190563,177614,196692,198430,185655,199661,186501,199048,229086,167114,203405,182730,138165,160606,183057,175687,170669,180825,172060,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tyrosine,6354121,6507232,6606820,6599475,6222487,6658748,6717292,6221726,6361431,6327668,6751119,6431601,6525333,6361970,6232471,6162275,6465443,6248057,6289233,6729968,6444760,6106399,6346302,6307577,6325865,6219715,6057201,6142312,5972249,5998646,5714118,5497214,5522955,5601445,5359476,5438568,5259847,5300164,5428656,5382768,5469782,5315603,5315236,5386819,5297846,5508766,5688192,5433707,5714729,5608304,5635455,5361164,5529276,5047909,5314313,5305986,5259204,5068661,5080619,5210657
Epinephrine,506526,743966,645579,665445,678216,708599,678529,588347,590485,638393,692724,641133,591321,612101,599209,596129,642764,557208,588340,621455,552335,535812,582653,583985,591524,538108,542383,586277,538497,603129,544323,623512,645952,575360,596748,634761,524559,539316,575367,527246,561181,507634,501632,539974,512502,512408,502755,551115,528835,455840,485628,490012,508627,498546,494084,570216,438108,452666,504895,473977
Se-Methylselenocysteine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phosphorylcholine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N6-Acetyl-Lysine,308627,308551,240782,237755,256403,234339,238150,246213,246469,237071,210901,198353,210308,220258,194171,189089,190123,201503,210608,180861,179797,192167,186711,177625,172633,180202,175858,163336,205828,181875,340624,307688,313374,308718,291457,302311,293524,309125,262622,313744,284912,288465,264924,282568,261640,301120,299538,307128,291851,290572,255838,290495,253650,269999,287479,262858,257120,253631,288319,268730
Homoarginine,2445569,3054376,2795735,2266924,2688625,2645189,2560242,2378191,2345366,2239996,2264290,2242096,2085774,1993253,2190608,1939274,1923317,1885742,1918566,1496808,1454007,1762557,1702564,1552315,1582797,1729879,1685741,1651517,1536217,1646978,2111479,2266485,2240607,2094298,2241971,2071916,2116633,1786343,1879164,2036069,1968671,1846622,1717864,1676803,1501093,1488446,1442087,1500246,1506864,1316746,1069235,1338353,1378282,1354976,1362139,1403730,1469787,1448362,1251416,1427825
N6-Trimethyllysine,10836840,14391771,11870027,9953293,12521487,11686429,12396385,11292390,10985806,10947954,11372105,10734970,9962232,9484764,10083599,9209172,8947974,8855857,9581742,6523272,7209431,7660476,8045841,7731742,8223496,8277999,8916557,8771514,7568683,7994758,20916579,24153581,22836587,22515973,22597280,23434866,22794190,19751728,20648207,21222613,20699855,19948621,18490418,17455676,16475375,16438020,17085379,16740912,16804895,15431771,12020013,16346271,15833846,15612404,16996996,15544316,16830747,16293950,13846330,16089652
Homocitrulline,187346,182590,170134,165784,156834,141560,145285,156056,168667,170320,145282,144705,168981,132899,148291,121163,150440,163268,161035,171936,141156,150052,165609,144257,143037,150799,167404,125806,149917,128108,699082,633342,612138,635492,574595,610772,568925,619363,524180,599297,580676,542220,533403,484450,560168,533655,562132,522340,572780,551087,467479,551108,560496,469094,510410,512600,539769,461401,482199,447804
Caffeine,1303274,1408678,1398341,1379529,1418151,1449050,1468791,1411094,1409188,1315775,1337461,1376554,1323558,1322765,1368637,1368770,1339423,1321980,1333987,1278401,1268566,1293327,1270425,1271741,1243528,1259894,1257675,1286814,1255457,1298044,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Salicylurate,171163,161804,175818,174926,177123,183874,173140,171348,167110,170788,164857,157057,183369,158880,172166,151861,176211,162952,160638,160927,167544,154090,164572,149709,155396,158340,166926,160295,163885,162270,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DL DOPA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,179707,173394,174088,176696,181618,168730,170965,142231,180276,183669,163136,170707,161676,144388,160809,150897,164260,162000,165897,158650,135153,162089,156421,162375,174060,158919,162939,176979,130692,139685
Selenomethionine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dimethylarginine (A/SDMA),9795680,9274559,8267184,7002846,8326919,8226215,8162265,7105064,7944791,7274640,7179431,7016489,6122597,5527690,6153010,5662382,5799130,5824468,5615895,3866367,3895021,4501889,5027153,4597184,4838265,4408468,4855387,5080294,4023175,5195298,19358839,19289520,18397657,17465842,17854780,17130573,16444660,15649294,15895621,14917859,14664774,13644415,12768232,12315144,13163999,11638285,12111393,12063080,12125042,9968591,8324791,9941443,10024618,9757356,10799890,10346643,10521471,11620193,8009445,10167866
Spermine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-Indolebutyric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Acetylcarnitine,4127199,3424085,3129126,2952573,3037059,2779189,2748861,2688733,2685895,2643604,2589048,2489211,2555515,2504194,2456599,2325118,2283136,2313394,2242245,2259321,2296452,2236745,2233875,2222041,2231902,2144758,2273792,2117760,2174533,2100709,1288480,1000093,906931,931334,867035,848912,793730,789859,769294,826405,735379,738630,685999,752656,721456,688993,712627,655433,688482,709072,707395,642056,663738,636737,633100,616294,674818,664172,656490,641405
Tryptophan,20654789,20157604,19689428,19318357,19555478,18959049,18846387,19078290,18732558,18143818,18608021,18747131,18092154,18163413,18337752,17696670,18160730,17906495,17735307,17127845,17424014,17596250,17001917,17186143,17320903,17246430,16519431,16903381,16906356,16235616,28796232,27882219,26438262,27454354,27250531,27811184,27670024,26414795,25956773,25588896,25702532,26099099,25406893,24596648,26693071,24680577,25233170,24643028,25285707,24175829,24189471,23958175,24689282,24129177,24415429,24687118,24066681,24015233,24092698,23334654
L-Kynurenine,268235,260584,245941,246875,235718,249335,231475,249061,255674,234919,242817,237244,237980,236982,227797,238378,222854,236059,233140,250340,240765,235625,228968,201753,224019,219744,200743,223258,208565,224167,490164,450143,439063,429990,470217,445693,442370,427125,459246,426750,425155,458278,405558,437026,438626,453596,426656,444534,435704,429887,413628,411178,420156,434825,408609,407905,397066,382447,390971,389318
Phosphocreatine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-Ac-Arginine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carnosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23660040,24759943,25610923,24562949,24429413,23502779,22662263,22865899,22263251,22187275,22011004,21836561,22119122,20915922,21288361,20620196,21382205,20564426,21100390,19848536,20149085,20392333,21065480,19864402,20712565,20949604,21856223,20124879,20533511,19738966
2-Deoxycytidine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6368466,5827688,5710788,5952008,5885029,5771545,5611046,5747951,5375400,5225786,5149063,5310958,5113486,4927179,5007171,4740513,4772000,4857760,4640245,4407166,4212986,4442743,4309956,4205403,4301948,4363416,4277035,4169893,4177755,4023413
2-Deoxyuridine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Biopterin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anserine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3106560,3174892,3090677,2952124,2925260,2814679,2694073,2810317,2873173,2629431,2735891,2598055,2715330,2631684,2606039,2557675,2704406,2500305,2599701,2467279,2376180,2309284,2450381,2312295,2348606,2519555,2501067,2309259,2363727,2362604
Cystine,221447,243822,248161,215485,231903,235149,227963,233713,255094,237824,232631,225013,220933,205769,239639,236619,213155,237495,243304,222081,210751,215324,192317,229068,250905,225256,201977,251862,233490,220203,1079211,1177800,1113888,1125798,1118511,1140713,1106586,1121628,1098648,1117064,1095194,1092848,1057215,1017218,1074781,1070049,1098549,1134530,1127058,1087237,1023713,1125554,1077583,1064584,1058175,1122608,1059847,1109810,1115481,1023717
Cytidine,43022,30181,39751,36519,28372,39875,39357,38951,34632,33475,34856,35904,30856,27637,34054,31483,32779,27194,31051,33515,27382,29236,27875,29934,22859,26730,29571,31819,27604,27933,719630,633823,640894,623279,616219,637037,608202,597908,599104,576478,587568,608496,579834,561668,562386,562166,589528,577602,581084,556257,547117,568936,564213,535223,526487,540114,557665,550127,520285,522511
Uridine,465831,457394,469465,479970,478642,475604,473387,471502,462685,439893,450384,468708,454061,460485,453321,442627,433100,495166,467151,448836,438315,449088,434947,441355,435943,417817,397198,422262,439151,395973,15583,16027,13773,12736,11396,11453,14930,13462,10300,10529,13261,13295,10958,10970,10640,13562,10904,11058,13775,15427,12520,10175,10647,10494,11067,10629,14375,10012,11309,10515
