COMPOUND,HMDB ID,KEGG ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320
Betaine Aldehyde,HMDB01252,C00576,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cadaverine,HMDB02322,C01672,226093,206741,243714,199703,224611,222923,238863,234097,260814,207638,235251,270129,248590,196264,165620,230722,211824,200131,257517,188515,203555,201563,190259,172482,271262,217923,216038,214559,203233,198532,220005,229293,247046,203738,174463,205705,206192,199235,197868,229565,177321,201916,199166,216528,196759,188175,183529,212551,225086,216886,155896,176482,204997,199114,180122,217095,195684,167537,195115,182046,187443,165174,241023,196302,215786,182274,216886,205488,214964,202286,190985,208874,206596,195594,198505,194719,187947,181113,196681,210823,203803,197103,184281,198136,164972,186529,176014,181983,186224,190451,190965,187535,233542,191667,183674,193279,215661,180568,184681,175863,191292,179911,161280,175891,183067,212197,185768,168103,169671,188849,191351,189683,154176,212181,174418,174595,191182,182390,217911,163201,173313,173259,149014,167301,172028,200749,161358,172961,189975,207576,174744,171085,175661,209058,160340,178181,159997,199146,173689,175719,188682,183838,184713,206190,176407,157868,153779,179392,175272,174334,172011,161030,183842,192419,188668,193911,170599,177530,158293,227126,155373,160748,187653,190607,173024,194874,168019,150482,171519,167187,160048,150204,145581,154606,157295,186660,164142,163895,158092,144922,163409,144875,162407,169460,174656,201820,157724,190821,167264,155731,190819,201762,177392,186558,183490,225246,177788,167241,205217,176403,179016,157060,179325,182504,161529,178441,176320,165238,139080,161832,151154,189034,167373,158618,171533,170557,144965,153928,165606,181463,156925,179458,184494,159572,166709,153075,176013,147872,176012,180582,176481,158125,140458,162750,160133,179891,158725,166522,170257,184213,183822,173719,149460,167927,179398,155005,161904,184288,135125,177782,166164,161534,155073,145413,170291,159634,158377,151382,150771,176326,206877,170045,169990,156794,163008,184068,157330,126815,156751,169414,143927,159914,170135,150363,152617,166617,159775,173710,177611,150284,166595,88998,123428,150720,150859,137855,172675,182648,166745,167468,165613,192018,175335,118612,164551,85449,162094,150772,104095,139946,146540,135380,144875,136288,153868,113488,158320,118333,109035,126390,138686,148114,151606,157694,111596,153082,163119,162058,121688,143937
3-Aminoisobutyrate,HMDB03911,C03284,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Choline,HMDB00097,C00114,76248518,88602112,60914884,63854673,51645961,103162127,39698248,70636635,85970681,86989335,67738299,34587634,60250638,44491067,76072676,100198679,67855265,57534860,86093905,85607098,116594163,96254590,57106714,57790152,70086481,80222632,55472567,63230109,89883906,64249011,71115215,81035407,39876599,47587453,82038125,66163624,50730858,47483213,56109675,71031745,59117734,107283696,75802201,84562502,64416470,76474536,88940456,40288236,53544821,62296388,51312601,103322359,96650982,68145498,76098302,66227163,36004673,59155468,45169981,61148817,52904633,85776997,35817312,52975495,52478600,81092114,61017913,23499065,40962732,55713974,77667270,65198344,71341031,50252435,46547712,60375842,54516914,55527955,53004651,79069575,43759633,39375286,83231558,60250829,36716462,59056183,42881601,78604731,50354863,66911556,40819088,46675038,49501904,52650831,41096781,64132011,71301621,36921211,45002588,79947800,156262602,50817053,35289850,37821024,70509263,190814167,82607416,74050647,53382921,50487161,66328742,40769427,47804182,60580736,34918303,161804682,71696827,55310229,44184707,52122834,79939736,62444317,90459442,161804331,208775043,78004755,65429747,72654823,61715270,54165593,49371608,85230220,55645640,74523359,59580866,89620688,54889934,48091545,38515338,115784058,51963940,43711404,70850070,102100996,71059632,53529124,40973065,57213554,63310848,115082436,29372094,63140838,39493670,56653108,33218126,50397785,49377011,43875711,41594334,48548897,21978545,55371374,52367335,53846571,39454075,57412518,40837747,56567408,58692905,40777165,34073165,60911927,40880117,28754100,39105346,52728836,33737799,45970049,38272003,40804386,99802462,40359380,40698197,40149347,70500108,47445418,57027645,61013187,51296126,64372724,43976140,81319425,40345543,32242509,62871106,73194590,86653411,44336848,83697914,71053915,23415576,193072525,32556649,74440143,30335866,69966692,123687393,33706497,54654297,34467050,79472999,34351662,44005878,62889767,48422203,62624541,47393136,248106792,70821796,59560318,41186125,52737435,47977853,59524052,38947456,66360258,47919412,46413713,40724829,53089740,80793320,36783033,42134927,34486938,33286008,80162959,36409160,32464115,38065676,65388774,29811040,75869118,55313621,46743060,50511146,41358705,35851362,28030113,31704288,42651228,36921237,41136453,38469508,71922358,47406701,33636108,35825975,36156945,31898937,64107556,34948636,41780083,41841969,34975026,25850788,41311770,34511684,37521106,43539752,25488805,17370244,25330086,62515068,64898844,34653950,27179850,30987281,30555386,47110420,33268561,33067109,12836594,15467514,40388053,35393117,46366447,49997982,31828811,32477382,25816627,53917971,35678684,76878241,18125216,70422257,13904998,39169284,35740616,34927801,35665337,43786640,76067465,46151711,51291778,46281321,25659869,46702689,28928157,25548283,50372770,58379341,12165209,24871982,27352385,26209360,51491363,38801391,52026729,12745340,44098703
Dimethylglycine,HMDB00092,C01026,1104312,830623,632128,816137,465772,734422,640805,720514,460359,967682,451131,620419,515232,445185,557665,884136,601923,1038513,740819,435570,642553,543092,491388,849981,391564,420115,449320,755866,1414843,661399,568053,631306,816936,781632,659592,387813,699177,547819,1154139,411011,467734,574305,373795,657123,546757,374863,508242,517494,280633,493203,520686,308122,841225,1064256,481478,399676,201180,1003615,212098,439544,450639,599230,262037,460850,210360,443639,544020,315400,417749,369650,330065,429969,273513,376665,467104,249555,232820,623903,303923,246507,277404,513498,422901,514458,262544,240560,583775,367542,341849,208364,296014,542365,293984,636000,254101,355341,335304,338582,274839,222646,958392,294955,433185,262657,293246,347942,780594,1243123,167551,308699,401271,251727,694354,239970,322851,550769,524841,304926,262144,342565,288282,441486,473615,377391,395553,276065,372104,489865,290450,408324,503416,464382,186352,279606,204866,303233,232334,171965,210406,192272,618999,219763,341771,250892,182538,171255,198359,195139,551938,251238,160685,372595,747903,251072,153351,340316,286886,261851,274674,186322,262191,575001,180369,427398,206204,299482,376379,297134,378347,425185,216643,237490,235839,181619,233231,169754,156922,160227,466966,312120,834859,204671,272411,236238,643599,180457,319452,212842,326137,231898,292456,496696,186990,351086,170333,667952,464988,420268,137850,257009,247470,272792,198759,290526,190701,291463,172021,195117,364253,161237,194144,148061,620580,389572,218583,541512,224388,407728,362202,174745,139466,236532,243077,174838,307949,352175,321636,156300,291496,126326,166673,148415,138467,184479,261206,384467,377547,304033,219646,300256,210599,238622,206672,1020413,170804,202224,455065,151415,338868,245419,149821,389969,543270,495926,217614,126843,166690,179835,616188,247519,332357,147366,176861,251097,160713,156526,184935,169576,187752,143493,172793,221657,140283,447031,306971,162547,270060,104478,1054967,387780,148216,319234,147303,229800,151660,185771,248270,175153,202692,345843,357830,238754,225940,351755,419494,270810,300567,211072,340276,255321,173558,539041,284256,164859,294217,360043,307463,164181,341994,212434,193906,146553,190810,292162,312605,304586,433123,215698,299729,444141
L-2-Aminobutyric Acid,HMDB00452,C02356,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-Aminoisobutyric Acid,HMDB01906,C03665,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Serine,HMDB00187,C00065,8063162,8666338,5548427,12052386,7550006,12061257,5885968,7570974,8658417,8355268,7210273,8557823,4646692,4771723,6801083,8281582,7275389,7671157,8697683,8277093,6173418,9618911,8102535,7520260,6425170,9187236,7621578,6858507,5093346,8632197,8754460,6446912,6402095,5381501,6658483,6329335,8180314,8610734,6726030,9149716,9794689,11763139,6553662,7686681,6332373,6068620,6907093,9393756,5655754,5142025,7145367,5252045,7436289,8844323,9647302,5920043,6114919,7408023,6506371,8364554,5379177,9164948,8054586,7918478,6822516,5024081,6565502,4737665,5817455,7784684,10005479,9835389,7969864,6657372,5007470,7026605,5277076,7625169,4986701,6008198,6396955,5087605,5965255,9598115,5714163,7185535,6590119,6922821,5661293,5300301,8192026,9448603,9220574,6720005,8230727,6164353,5916009,8462902,7994914,8965554,9681986,6662383,5311903,4748434,13226634,10577841,7114597,7958930,8429312,8344073,7241710,4460545,5490518,9401714,5851126,8188729,6726614,6760914,5423627,6269182,5875310,8432762,8073392,6080089,8206008,8862267,5832149,6189180,6844720,5607358,5509813,10806626,8077415,8228864,9577612,9469413,4556663,4746082,4069582,10815353,8019490,7199962,9728465,17464849,6236609,5447858,6864575,5147609,9450127,10020979,5516441,7125412,7043584,5786371,5858317,4668093,10863152,5258691,7300815,5056867,8140699,12291594,5923386,6339104,9892697,7755041,4792913,7301877,8078964,10649129,6015708,6266944,7416472,6371057,7276950,5734461,6666291,6579626,5286455,6140266,6912718,6094588,8376010,9073198,7353514,10278683,6724902,6441959,7984352,7980816,6150073,8946646,6039025,6059723,10135086,10571204,7091340,5929619,11201929,10786721,6007598,10212160,8805546,9774825,5615105,7822368,6219316,6269781,8201730,6478766,7731142,4646713,7500409,7488670,6680463,5462556,5636088,7795599,8861758,7681310,4713089,8145960,6858775,6361161,7989397,4581709,6924184,6426695,5372671,6475177,7049140,6888781,6542847,6241629,4970031,11129070,7337073,6398225,6504398,9452289,6528075,11307136,7066645,4701642,5810431,7296121,6673683,6800797,7552757,4209610,6316978,9396450,10691798,10745373,4682669,6992810,11162818,8591261,7468779,7444101,4075999,5121594,9316455,6198477,7124871,7466822,9853308,8865401,6715223,5867896,5190340,4515623,7156011,7603422,8740778,3291204,6191178,8507486,5467770,8189276,5284878,5328248,5949311,6034485,7920344,6791004,7391056,8137070,8155427,6147559,9666063,5362708,6862863,7949949,5702919,4437368,9870769,5536841,9880501,8053312,6932592,12825174,6485573,6493767,5897056,5856038,4707300,7573285,4778354,7192676,6537297,6930812,5364640,5735597,9069804,7351346,8981969,6371314,4553657,8225212
Hypotaurine,HMDB00965,C00519,N/A,8550,9629,8068,12752,14285,8936,10370,10687,6567,8326,N/A,6776,7078,12723,18633,N/A,14372,9454,9453,N/A,10410,5463,10747,7740,11365,6058,5248,7185,13385,15064,12383,8972,13822,13525,14197,8527,N/A,5961,32735,8684,32640,13341,19832,5159,7072,N/A,N/A,N/A,N/A,4950,3845,10022,14979,4069,6374,12973,N/A,13880,N/A,10278,6659,6707,N/A,N/A,8461,7054,N/A,3743,N/A,5997,6630,5259,N/A,9477,4772,N/A,N/A,14524,N/A,N/A,10716,8320,11918,N/A,N/A,6528,6306,6291,3800,9761,8899,6522,6926,7416,8218,N/A,14825,4439,5302,6825,N/A,7811,5354,5989,12031,6446,22784,8738,6475,4650,N/A,5984,9045,6787,5551,3986,N/A,8175,13736,8210,11524,6297,N/A,7353,10924,7712,10065,6294,N/A,7503,11351,7907,22304,7808,7778,N/A,N/A,6709,9342,15031,16079,10841,15328,7898,12583,6275,8905,4003,19632,7090,7575,6629,12602,10447,N/A,9806,6528,9899,6584,15599,11686,4663,N/A,5984,10346,9249,15261,N/A,20227,10074,8346,N/A,N/A,5294,4113,6995,8837,10715,8130,N/A,N/A,5706,4770,8689,16083,7656,16709,11991,10707,N/A,11034,4123,4117,9968,34927,6287,N/A,12224,3834,11042,N/A,7941,12726,10743,N/A,N/A,N/A,10777,8069,N/A,N/A,7838,14367,9583,5717,N/A,12351,11429,N/A,5462,7861,4877,9227,7155,N/A,4813,N/A,N/A,6968,N/A,6658,5398,N/A,5907,26971,8714,6800,4302,15100,N/A,13297,9254,5621,7654,4624,N/A,N/A,6290,N/A,N/A,8869,N/A,N/A,5605,N/A,10896,6635,7797,6242,N/A,N/A,7767,8413,N/A,4581,8221,11155,N/A,N/A,N/A,5017,N/A,5003,10806,N/A,5468,5187,7482,10675,7120,N/A,N/A,8891,5618,N/A,4921,5757,7453,5690,4929,N/A,12256,N/A,14906,4245,N/A,6090,N/A,6572,11552,17044,N/A,8234,7754,N/A,N/A,10327,5162,7151,N/A,11068,N/A,5697,8904,5288,N/A,7096,N/A,5397
Cytosine,HMDB00630,C00380,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
